project_id,order,kind,content,image_src,image_caption
mug,1,text,"연희초등학교는 1970년대에 지어진 전형적인 공립 초등학교 건물이다. 낮고 어두운 복도, 교실마다 닫힌 문, 운동장을 등진 배치 — 이 학교의 공간은 수십 년 동안 아이들에게 무언가를 가르쳐왔다.",,
mug,2,img,,assets/images/projects/mug/mug-thumbnail.png,Roof Geometry
mug,3,pull,"A wall can be a garden. Its surface, its shadow, its sound of rain — all are landscape.",,
mug,4,text,"The solution is a 2.8-meter wall in textured concrete, angled slightly inward at the top to deflect sound and direct rainwater into a narrow channel running along its base.",,
bukhansan-shelter,1,text,"A rest shelter at the midpoint of a popular hiking trail on the southern face of Bukhansan. The program is simple: shade, seating, drinking water, and an emergency telephone.",,
bukhansan-shelter,2,img,,"https://images.unsplash.com/photo-1462826303086-329426d1aef5?w=900&q=80","Shelter integrated into the rock face."
bukhansan-shelter,3,text,"The structure leans against an existing granite outcrop, using the rock as its north wall. The roof is folded Corten steel, pre-weathered before installation.",,
bukhansan-shelter,4,pull,"The rock was already there. The building's job was to make it more itself.",,
yeonhui-studio,1,text,"A working studio and living space for a ceramicist in the Yeonhui neighborhood of northwestern Seoul.",,
yeonhui-studio,2,img,,"https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=900&q=80","Studio interior, north light."
yeonhui-studio,3,pull,"Light from the north has no agenda. It does not flatter or deceive. It is simply reliable.",,
yeonhui-studio,4,text,"The studio is oriented north for stable working light. The kiln room sits at the back, ventilated by a tall brick chimney that also acts as the building's main vertical landmark.",,
yeonhui-studio,5,text,"The exterior is plain brick, local and inexpensive. Inside, the floors are poured concrete, sealed and polished.",,
hello-world,1,text,"A working studio and living space for a ceramicist in the Yeonhui neighborhood of northwestern Seoul.",,
hello-world,2,img,,"https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=900&q=80","Studio interior, north light."
hello-world,3,pull,"Light from the north has no agenda. It does not flatter or deceive. It is simply reliable.",,
hello-world,4,text,"The studio is oriented north for stable working light.",,
